enzyme_id,type,orthology_group,uniprot,protein_refseq,dna_refseq,gene_name,gene_id,species,branch_site_specificity
271,GT,Fut11,Q68FV3,NP_775430,,Fut11,286971,Rattus norvegicus,
272,GT,Galnt5,O88422,NP_113984,,Galnt5,83627,Rattus norvegicus,
273,GT,Galnt6,D4A864,NP_001165534,,Galnt6,100361647,Rattus norvegicus,
274,GT,Gcnt3,Q8CH87,NP_775434,,Gcnt3,286976,Rattus norvegicus,
275,GT,Ogt,P56558,NP_058803,,Ogt,26295,Rattus norvegicus,
276,GT,Galnt12,D4A849,XP_001066416,,Galnt12,313233,Rattus norvegicus,
277,GT,Eogt,Q5NDL0,NP_001009502,,Eogt,494219,Rattus norvegicus,
278,GT,B3galnt1,Q6AY39,NP_001013176,,B3galnt1,310508,Rattus norvegicus,
279,GT,Mgat5b,A0A8I5ZTQ1,XP_006247861,,Mgat5b,303693,Rattus norvegicus,
280,GT,Galnt10,Q925R7,NP_570098,,Galnt10,170501,Rattus norvegicus,
281,GT,Galnt1,Q10473,NP_077349,,Galnt1,79214,Rattus norvegicus,
282,GT,A3galt2,A0A4Z3,NP_612533,,A3galt2,171553,Rattus norvegicus,
283,GT,Mgat4a,Q5M854,NP_001012225,,Mgat4a,367252,Rattus norvegicus,
284,GT,Alg9,A0ABK0LJG1,,,Alg9,367083,Rattus norvegicus,
285,GT,Alg2,G3V6U3,NP_001094180,,Alg2,313231,Rattus norvegicus,
286,GT,Galnt13,Q6UE39,NP_954537,,Galnt13,311039,Rattus norvegicus,
287,GT,Galnt16,F1LQN1,NP_001094333,,Galnt16,362760,Rattus norvegicus,
288,GT,Galnt11,Q6P6V1,NP_955425,,Galnt11,311952,Rattus norvegicus,
289,GT,B3galt4,O88178,,,B3galt4,171079,Rattus norvegicus,
290,GT,St3gal6,P61943,,,St3gal6,304023,Rattus norvegicus,
291,GT,Lfng,Q924T4,NP_596884,,Lfng,170905,Rattus norvegicus,
292,GT,B4galt1,P80225,,,B4galt1,24390,Rattus norvegicus,
293,GT,Pomgnt1,Q5XIN7,NP_001007748,,Pomgnt1,362567,Rattus norvegicus,
294,GT,B3glct,A0ABK0LW29,,,B3glct,689765,Rattus norvegicus,
295,GT,Oga,Q8VIJ5,NP_571979,,Oga,154968,Rattus norvegicus,
296,GT,Mgat2,Q09326,NP_446056,,Mgat2,94273,Rattus norvegicus,
297,GT,Galnt14,A6H9Z9,NP_001012109,,Galnt14,313878,Rattus norvegicus,
298,GT,B3galt5,D4AB20,NP_001099357,,B3galt5,288161,Rattus norvegicus,
299,GT,B3galt1,D3ZPD8,NP_001102424,,B3galt1,366064,Rattus norvegicus,
300,GT,B3gnt2,D3ZEF9,NP_001100710,,B3gnt2,305571,Rattus norvegicus,
301,GT,St6galnac5,Q6ZXY9,NP_001258290,,St6galnac5,365984,Rattus norvegicus,
302,GT,Chst4,D3ZLS2,NP_001100897,,Chst4,307838,Rattus norvegicus,
303,GT,B4galt5,A0A0G2K3K5,,,B4galt5,362275,Rattus norvegicus,
304,GT,Xxylt1,D4ADL7,XP_344028,,Xxylt1,363799,Rattus norvegicus,
305,GT,B3gnt6,D3ZC66,NP_001099681,,B3gnt6,292325,Rattus norvegicus,
306,GT,B4galt2,A0ABK0LW81,NP_001101435,,B4galt2,313536,Rattus norvegicus,
307,GT,Gxylt2,D4A275,XP_001066466,,Gxylt2,688618,Rattus norvegicus,
308,GT,Dpagt1,F7EMK2,NP_955420,,Dpagt1,300668,Rattus norvegicus,
309,GT,Fut4,Q62994,,,Fut4,60670,Rattus norvegicus,
310,GT,Fut1,Q10980,NP_112515,,Fut1,81919,Rattus norvegicus,
311,GT,B3galt2,A0ABK0LFV5,,,B3galt2,686081,Rattus norvegicus,
312,GT,B4galnt2,A0ABK0LW37,XP_006220879,,B4galnt2,688155,Rattus norvegicus,
313,GT,B3gnt3,A0ABK0LB36,NP_001099538,,B3gnt3,290638,Rattus norvegicus,
314,GT,Gcnt2,Q6T5E0,,,Gcnt2,306860,Rattus norvegicus,
315,GT,Gxylt1,Q6GX83,NP_001094357,,Gxylt1,300173,Rattus norvegicus,
316,GT,St3gal2,Q11205,NP_113883,,St3gal2,64442,Rattus norvegicus,
317,GT,Galnt2,D3ZFD2,,,Galnt2,292090,Rattus norvegicus,
318,GT,Fut7,Q712G6,NP_955785,,Fut7,296564,Rattus norvegicus,
319,GT,B3gnt4,A0ABK0LUZ3,NP_001099408,,B3gnt4,288752,Rattus norvegicus,
320,GT,B4galnt4,D4A750,NP_001101032,,B4galnt4,309105,Rattus norvegicus,
321,GT,Pomt1,Q99PR0,NP_445858,,Pomt1,84430,Rattus norvegicus,
322,GT,Mgat1,Q09325,NP_110488,,Mgat1,81519,Rattus norvegicus,
323,GT,Galntl6,A0A8I5ZYW6,NP_001129228,,Galntl6,361142,Rattus norvegicus,
324,GT,Galnt7,Q9R0C5,NP_075215,,Galnt7,29750,Rattus norvegicus,
325,GT,Alg12,B1WBY3,NP_001101574,,Alg12,315212,Rattus norvegicus,
326,GT,Fut9,Q99JB3,NP_445917,,Fut9,84597,Rattus norvegicus,
327,GT,B4gat1,D3ZHA1,NP_001099794,,B4gat1,293667,Rattus norvegicus,
328,GT,Rfng,Q9R1U9,NP_068621,,Rfng,60433,Rattus norvegicus,
329,GT,Mgat4c,A0ABK0LZR9,NP_001129286,,Mgat4c,299756,Rattus norvegicus,
330,GT,C1galt1,Q9JJ05,NP_075239,,C1galt1,65044,Rattus norvegicus,
331,GT,Mgat3,Q02527,NP_062112,,Mgat3,29582,Rattus norvegicus,
332,GT,Gal3st1,D3ZCT9,NP_001102917,,Gal3st1,683713,Rattus norvegicus,
333,GT,Galnt3,A6HLX8,NP_001015032,,Galnt3,366061,Rattus norvegicus,
334,GT,B4galnt3,F1M021,,,B4galnt3,500306,Rattus norvegicus,
335,GT,Mgat4b,B2GV39,NP_001121005,,Mgat4b,303100,Rattus norvegicus,
336,GT,St3gal3,Q02734,NP_113885,,St3gal3,64445,Rattus norvegicus,
337,GT,Poglut2,A0A8I6AI78,NP_001264157,,Poglut2,316370,Rattus norvegicus,
338,GT,Galnt17,Q5CD99,NP_001020283,,Galnt17,288611,Rattus norvegicus,
339,GT,Galnt18,A0A8J8XFR5,,,Galnt18,293181,Rattus norvegicus,
340,GT,Mgat5,Q08834,NP_075583,,Mgat5,65271,Rattus norvegicus,
341,GT,B4galt4,Q66HH1,NP_001012018,,B4galt4,303923,Rattus norvegicus,
342,GT,Mfng,G3V725,,,Mfng,315119,Rattus norvegicus,
343,GT,St6galnac4,A0A8J8XJY2,,,St6galnac4,407764,Rattus norvegicus,
344,GT,B3gnt5,Q99NB2,NP_446384,,B3gnt5,116740,Rattus norvegicus,
345,GT,St6galnac6,A0ABK0LQS8,,,St6galnac6,407765,Rattus norvegicus,
346,GT,Chst2,M0R868,XP_006226586,,Chst2,367145,Rattus norvegicus,
347,GT,B3gnt8,D3ZE36,NP_001100962,,B3gnt8,308440,Rattus norvegicus,
348,GT,St6galnac2,A0A8I6A9Z9,NP_001026822,,St6galnac2,303692,Rattus norvegicus,
349,GT,Gcnt1,Q64165,NP_071612,,Gcnt1,64043,Rattus norvegicus,
350,GT,Galntl5,Q6AYL7,NP_001020319,,Galntl5,499968,Rattus norvegicus,
351,GT,Alg10,O88788,NP_620801,,Alg10,245960,Rattus norvegicus,
352,GT,Alg13,Q5I0K7,NP_001013973,,Alg13,300284,Rattus norvegicus,
353,GT,Chst8,A0ABK0LZD4,,,Chst8,308511,Rattus norvegicus,
354,GT,Sec1,F1MAG9,NP_001129056,,Sec1,308586,Rattus norvegicus,
355,GT,Ggta1,Q3L7M0,,,Ggta1,246766,Rattus norvegicus,
356,GT,St3gal4,P61131,,,St3gal4,363040,Rattus norvegicus,
357,GT,St8sia1,Q92185,,,ST8SIA1,6489,Homo sapiens,
358,GT,St8sia1,Q64687,,,St8sia1,20449,Mus musculus,
359,GT,St8sia2,O35696,,,St8sia2,20450,Mus musculus,
360,GT,St8sia2,Q92186,,,ST8SIA2,8128,Homo sapiens,
361,GT,St8sia3,Q64689,,,St8sia3,20451,Mus musculus,
362,GT,St8sia3,O43173,,,ST8SIA3,51046,Homo sapiens,
363,GT,St8sia4,Q64692,,,St8sia4,20452,Mus musculus,
364,GT,St8sia4,Q92187,,,ST8SIA4,7903,Homo sapiens,
365,GT,St8sia5,P70126,,,St8sia5,225742,Mus musculus,
366,GT,St8sia5,O15466,,,ST8SIA5,29906,Homo sapiens,
367,GT,St8sia6,Q8K4T1,,,St8sia6,241230,Mus musculus,
368,GT,St8sia6,P61647,,,ST8SIA6,338596,Homo sapiens,
369,GT,St8sia1,G3V7T2,,,St8sia1,25280,Rattus norvegicus,
370,GT,St8sia2,Q07977,,,St8sia2,117523,Rattus norvegicus,
371,GT,St8sia3,G3V8D0,,,St8sia3,25547,Rattus norvegicus,
372,GT,St8sia4,A1KQY6,,,St8sia4,116696,Rattus norvegicus,
373,GT,St8sia5,Q6ZXC8,,,St8sia5,364901,Rattus norvegicus,
374,GT,St8sia6,A6JM47,,,St8sia6,291325,Rattus norvegicus,
375,GT,Abo,Q9ET32,,,Abo,65270,Rattus norvegicus,
376,GT,A4gnt,A0ABI0P2M0,,,A4GNT,540795,Bos taurus,
377,GT,A4gnt,I3LSM2,,,A4GNT,100621190,Sus scrofa,
378,GT,Abo,A0AAA9S1H3,,,ABO,515340,Bos taurus,
379,GT,Alg1,F1N2J7,,,ALG1,507210,Bos taurus,
380,GT,Alg1,F1RKX2,,,ALG1,100524193,Sus scrofa,
381,GT,Alg11,A0AAA9T257,,,ALG11,540845,Bos taurus,
382,GT,Alg11,F1RMC7,,,ALG11,100152645,Sus scrofa,
383,GT,Alg12,A5PJJ2,,,ALG12,100125314,Bos taurus,
384,GT,Alg12,F1RXR3,,,ALG12,100520494,Sus scrofa,
385,GT,Alg13,A6H706,,,ALG13,515282,Bos taurus,
386,GT,Alg13,K7GR87,,,ALG13,100523348,Sus scrofa,
387,GT,Alg14,Q17QD5,,,ALG14,506537,Bos taurus,
388,GT,Alg14,A0A287ARB8,,,ALG14,100157203,Sus scrofa,
389,GT,Alg2,F1SSE6,,,ALG2,100113423,Sus scrofa,
390,GT,Alg2,A0AAA9T9B7,,,ALG2,538899,Bos taurus,
391,GT,Alg3,F6QW25,,,ALG3,614624,Bos taurus,
392,GT,Alg3,I3LQI7,,,ALG3,100627022,Sus scrofa,
393,GT,Alg6,F6QF86,,,ALG6,510138,Bos taurus,
394,GT,Alg6,A0A8D1M5U4,,,ALG6,100521457,Sus scrofa,
395,GT,Alg8,Q0P5D9,,,ALG8,538731,Bos taurus,
396,GT,Alg8,I3L8Z7,,,ALG8,100511030,Sus scrofa,
397,GT,Alg9,F1SUZ6,,,ALG9,100519965,Sus scrofa,
398,GT,B3galnt1,Q864U6,,,B3GALNT1,397634,Sus scrofa,
399,GT,B3galt1,A0AAA9TBP1,,,B3GALT1,539027,Bos taurus,
400,GT,B3galt1,A0A287B819,,,B3GALT1,100152554,Sus scrofa,
401,GT,B3galt2,Q3T0R9,,,B3GALT2,539815,Bos taurus,
402,GT,B3galt2,F1SAB1,,,B3GALT2,100525885,Sus scrofa,
403,GT,B3galt4,Q2HJA3,,,B3GALT4,768038,Bos taurus,
404,GT,B3galt4,F1RZT4,,,B3GALT4,100155431,Sus scrofa,
405,GT,B3galt5,A0AAA9TYT3,,,B3GALT5,614873,Bos taurus,
406,GT,B3galt5,A0A287BQL8,,,B3GALT5,100516832,Sus scrofa,
407,GT,B3gat1,F1MQ60,,,B3GAT1,541596,Bos taurus,
408,GT,B3gat1,A0A286ZTI9,,,B3GAT1,100520760,Sus scrofa,
409,GT,B3gat2,A0AAA9SHR9,,,B3GAT2,541595,Bos taurus,
410,GT,B3gat2,I3LR31,,,B3GAT2,100526195,Sus scrofa,
411,GT,B3glct,A0AAA9TL60,,,B3GLCT,132346750,Bos taurus,
412,GT,B3glct,F1RSS9,,,B3GLCT,100517236,Sus scrofa,
413,GT,B3gnt2,A7YY64,,,B3GNT2,515585,Bos taurus,
414,GT,B3gnt2,F1SIW5,,,B3GNT2,100524195,Sus scrofa,
415,GT,B3gnt3,A4IFK5,,,B3GNT3,784997,Bos taurus,
416,GT,B3gnt3,A0A8D1NRV6,,,B3GNT3,100518473,Sus scrofa,
417,GT,B3gnt4,F1MSS4,,,B3GNT4,534619,Bos taurus,
418,GT,B3gnt4,I3LK83,,,B3GNT4,100736645,Sus scrofa,
419,GT,B3gnt5,A0AAA9TA32,,,B3GNT5,767899,Bos taurus,
420,GT,B3gnt5,Q864U8,,,B3GNT5,397599,Sus scrofa,
421,GT,B3gnt6,F1MGN7,,,B3GNT6,540848,Bos taurus,
422,GT,B3gnt8,Q0VC83,,,B3GNT8,534859,Bos taurus,
423,GT,B3gnt8,A0A286ZLM1,,,B3GNT8,100511757,Sus scrofa,
424,GT,B4galnt1,A5PJP7,,,B4GALNT1,520159,Bos taurus,
425,GT,B4galnt1,A0A287ACM0,,,B4GALNT1,100516440,Sus scrofa,
426,GT,B4galnt2,A0A3Q1NNN5,,,B4GALNT2,508108,Bos taurus,
427,GT,B4galnt2,A0A5G2R5R4,,,B4GALNT2,100621328,Sus scrofa,
428,GT,B4galnt3,F1N0M7,,,B4GALNT3,527026,Bos taurus,
429,GT,B4galnt3,A0A287AZV6,,,B4GALNT3,110260758,Sus scrofa,
430,GT,B4galnt4,G3X7L4,,,B4GALNT4,100137759,Bos taurus,
431,GT,B4galnt4,A0A8W4F915,,,B4GALNT4,100623649,Sus scrofa,
432,GT,B4galt1,P08037,,,B4GALT1,281781,Bos taurus,
433,GT,B4galt1,A0A287AIG3,,,B4GALT1,100511655,Sus scrofa,
434,GT,B4galt2,F6RJ53,,,B4GALT2,100125390,Bos taurus,
435,GT,B4galt2,I3LDA7,,,B4GALT2,100736821,Sus scrofa,
436,GT,B4galt3,Q5EA87,,,B4GALT3,515771,Bos taurus,
437,GT,B4galt3,F1S1A6,,,B4GALT3,100154856,Sus scrofa,
438,GT,B4galt4,F6RH18,,,B4GALT4,511328,Bos taurus,
439,GT,B4galt4,F1SPA3,,,B4GALT4,397380,Sus scrofa,
440,GT,B4galt5,A0AAA9T0M7,,,B4GALT5,282407,Bos taurus,
441,GT,B4galt5,A0A1S6M251,,,B4GALT5,100522653,Sus scrofa,
442,GT,B4gat1,Q5EA01,,,B4GAT1,618055,Bos taurus,
443,GT,B4gat1,F1RUS9,,,B4GAT1,100518412,Sus scrofa,
444,GT,C1galt1,Q0VC84,,,C1GALT1,539417,Bos taurus,
445,GT,C1galt1,A0A5G2QHX1,,,C1GALT1,100525767,Sus scrofa,
446,GT,C1galt1c1,Q3SX46,,,C1GALT1C1,531644,Bos taurus,
447,GT,C1galt1c1,F1RUC2,,,C1GALT1C1,100511613,Sus scrofa,
448,GT,Chst10,F6PRF2,,,CHST10,511215,Bos taurus,
449,GT,Chst10,A0A287A2S8,,,CHST10,100520428,Sus scrofa,
450,GT,Chst2,E1BMN6,,,CHST2,615978,Bos taurus,
451,GT,Chst2,I3L6A5,,,CHST2,100626514,Sus scrofa,
452,GT,Chst4,Q1LZD4,,,CHST4,539063,Bos taurus,
453,GT,Chst4,F1S3D0,,,CHST4,106510480,Sus scrofa,
454,GT,Chst8,C0LMH8,,,CHST8,100271926,Bos taurus,
455,GT,Chst8,A0A286ZI43,,,CHST8,100620211,Sus scrofa,
456,GT,Chst9,A0A3Q1MTD8,,,CHST9,525909,Bos taurus,
457,GT,Chst9,F1SBA1,,,CHST9,100515146,Sus scrofa,
458,GT,Dpagt1,Q5EA65,,,DPAGT1,537812,Bos taurus,
459,GT,Dpagt1,F1SAH5,,,DPAGT1,100517773,Sus scrofa,
460,GT,Eogt,A0JND3,,,EOGT,508782,Bos taurus,
461,GT,Eogt,F1SFQ3,,,EOGT,100155485,Sus scrofa,
462,GT,Fut1,F6Q1T7,,,FUT1,281174,Bos taurus,
463,GT,Fut1,Q29043,,,FUT1,397138,Sus scrofa,
464,GT,Fut10,Q6A198,,,FUT10,360195,Bos taurus,
465,GT,Fut10,A0A287BS10,,,FUT10,100625870,Sus scrofa,
466,GT,Fut11,A0AAA9S1Q8,,,FUT11,539329,Bos taurus,
467,GT,Fut11,A0A287BIT3,,,FUT11,100157040,Sus scrofa,
468,GT,Fut2,Q28113,,,FUT2,281175,Bos taurus,
469,GT,Fut2,Q10982,,,FUT2,397139,Sus scrofa,
470,GT,Fut3,Q99KG7,,,Hps4,192232,Mus musculus,
471,GT,Fut3,Q11126,,,FUT3,,Bos taurus,
472,GT,Fut4,Q8HZR3,,,FUT4,282854,Bos taurus,
473,GT,Fut4,A0A8W4FN42,,,FUT4,100513419,Sus scrofa,
474,GT,Fut6,F1MBS8,,,FUT6,338077,Bos taurus,
475,GT,Fut6,F1SBU3,,,LOC100513844,100513844,Sus scrofa,
476,GT,Fut7,G3MZR2,,,FUT7,100036592,Bos taurus,
477,GT,Fut7,A0A287B633,,,FUT7,110258084,Sus scrofa,
478,GT,Fut8,Q9N0W2,,,FUT8,281177,Bos taurus,
479,GT,Fut8,P79282,,,FUT8,396933,Sus scrofa,
480,GT,Fut9,Q8HZR2,,,FUT9,282853,Bos taurus,
481,GT,Fut9,A0A4X1VHC3,,,FUT9,102160171,Sus scrofa,
482,GT,Gal3st1,A6QNK1,,,GAL3ST1,513295,Bos taurus,
483,GT,Gal3st1,A0A287BRU9,,,GAL3ST1,100155265,Sus scrofa,
484,GT,Galnt1,Q07537,,,GALNT1,282241,Bos taurus,
485,GT,Galnt1,Q29121,,,GALNT1,100738545,Sus scrofa,
486,GT,Galnt10,F1N554,,,GALNT10,787200,Bos taurus,
487,GT,Galnt10,F1RQC2,,,GALNT10,100511419,Sus scrofa,
488,GT,Galnt11,E1BDW8,,,GALNT11,534904,Bos taurus,
489,GT,Galnt11,A0A287B5N4,,,GALNT11,100515515,Sus scrofa,
490,GT,Galnt12,F1SSE9,,,GALNT12,100512452,Sus scrofa,
491,GT,Galnt13,Q08DM9,,,GALNT13,532545,Bos taurus,
492,GT,Galnt13,A0A287AU55,,,GALNT13,100520278,Sus scrofa,
493,GT,Galnt14,A0AAA9S1Y7,,,GALNT14,540500,Bos taurus,
494,GT,Galnt14,F1S3Y5,,,GALNT14,100738063,Sus scrofa,
495,GT,Galnt15,E1BHN6,,,GALNT15,618078,Bos taurus,
496,GT,Galnt15,A0A287ASH2,,,GALNT15,100157572,Sus scrofa,
497,GT,Galnt16,A6QLD9,,,GALNTL1,526331,Bos taurus,
498,GT,Galnt16,F1S4B7,,,GALNT16,100513992,Sus scrofa,
499,GT,Galnt17,E1B9U7,,,GALNT17,505622,Bos taurus,
500,GT,Galnt17,F1RJJ7,,,GALNT17,100514952,Sus scrofa,
501,GT,Galnt18,F6RJ62,,,GALNT18,614203,Bos taurus,
502,GT,Galnt18,F1S6W6,,,GALNT18,100519410,Sus scrofa,
503,GT,Galnt2,A0A3Q1M986,,,GALNT2,616218,Bos taurus,
504,GT,Galnt2,A0A287A6N0,,,GALNT2,100153028,Sus scrofa,
505,GT,Galnt3,A0AAA9S5W3,,,GALNT3,535458,Bos taurus,
506,GT,Galnt3,A0A4X1VPB2,,,GALNT3,100515629,Sus scrofa,
507,GT,Galnt4,A0A5G2R0V1,,,GALNT4,100621801,Sus scrofa,
508,GT,Galnt5,E1BKQ9,,,GALNT5,504711,Bos taurus,
509,GT,Galnt5,I3LCH7,,,GALNT5,100627600,Sus scrofa,
510,GT,Galnt6,Q5EA41,,,GALNT6,506903,Bos taurus,
511,GT,Galnt6,A0A287A7J0,,,GALNT6,100520836,Sus scrofa,
512,GT,Galnt7,A0A3Q1MN70,,,GALNT7,524529,Bos taurus,
513,GT,Galnt7,F1RIZ9,,,GALNT7,100158205,Sus scrofa,
514,GT,Galnt9,A0A287AIU3,,,GALNT9,100156842,Sus scrofa,
515,GT,Galntl5,G3N0Q1,,,GALNTL5,617031,Bos taurus,
516,GT,Galntl5,F1SSN3,,,GALNTL5,100515695,Sus scrofa,
517,GT,Galntl6,A0AAA9TS02,,,GALNTL6,615819,Bos taurus,
518,GT,Galntl6,A0A4X1V6H3,,,GALNTL6,100518755,Sus scrofa,
519,GT,Gcnt1,Q92180,,,GCNT1,281778,Bos taurus,
520,GT,Gcnt1,F1SIN0,,,GCNT1,106508649,Sus scrofa,
521,GT,Gcnt2,A0A3Q1N1F3,,,GCNT2,613924,Bos taurus,
522,GT,Gcnt2,A0A287BBU6,,,GCNT2,100152566,Sus scrofa,
523,GT,Gcnt3,Q7YQE1,,,GCNT3,404167,Bos taurus,
524,GT,Gcnt3,F1S070,,,GCNT3,100522112,Sus scrofa,
525,GT,Ggta1,P14769,,,GGTA1,281780,Bos taurus,
526,GT,Ggta1,P50127,,,GGTA1,396733,Sus scrofa,
527,GT,Gxylt1,A0A3Q1LRP0,,,GXYLT1,617596,Bos taurus,
528,GT,Gxylt1,A0A287A1D3,,,GXYLT1,110260763,Sus scrofa,
529,GT,Gxylt2,G3N2G4,,,GXYLT2,507299,Bos taurus,
530,GT,Gxylt2,F1SFM8,,,GXYLT2,100511227,Sus scrofa,
531,GT,Lfng,Q2KJ92,,,LFNG,516209,Bos taurus,
532,GT,Lfng,F1RI57,,,LFNG,100524978,Sus scrofa,
533,GT,Mfng,A0AAA9SC75,,,MFNG,505267,Bos taurus,
534,GT,Mfng,I3LAN4,,,MFNG,102161832,Sus scrofa,
535,GT,Mgat1,Q5E9I4,,,MGAT1,534248,Bos taurus,
536,GT,Mgat1,Q0KKC2,,,MGAT1,780412,Sus scrofa,
537,GT,Mgat2,E1BB36,,,MGAT2,101906103,Bos taurus,
538,GT,Mgat2,O19071,,,MGAT2,100151745,Sus scrofa,
539,GT,Mgat3,A0AAA9S9Z3,,,MGAT3,520087,Bos taurus,
540,GT,Mgat3,A0A287AW36,,,MGAT3,100625969,Sus scrofa,
541,GT,Mgat4a,O77836,,,MGAT4A,282276,Bos taurus,
542,GT,Mgat4a,A0A287BE04,,,MGAT4A,100524079,Sus scrofa,
543,GT,Mgat4b,A0AAF6DMH2,,,MGAT4B,526256,Bos taurus,
544,GT,Mgat4b,F1S444,,,MGAT4B,100521073,Sus scrofa,
545,GT,Mgat4c,E1BNB2,,,MGAT4C,539661,Bos taurus,
546,GT,Mgat4c,Q6ITT3,,,MGAT4C,414851,Sus scrofa,
547,GT,Mgat5,A0A3Q1MCW8,,,MGAT5,537595,Bos taurus,
548,GT,Mgat5,A0A4X1ST51,,,MGAT5,100512563,Sus scrofa,
549,GT,Mgat5b,A0AAA9S5A7,,,MGAT5B,785213,Bos taurus,
550,GT,Mgat5b,F1RZ69,,,MGAT5B,100516218,Sus scrofa,
551,GT,Oga,A0A3Q1LX66,,,OGA,538561,Bos taurus,
552,GT,Oga,F1S8T6,,,OGA,100152585,Sus scrofa,
553,GT,Ogt,A0A3S5ZPK0,,,OGT,532053,Bos taurus,
554,GT,Ogt,Q27HV0,,,OGT,664652,Sus scrofa,
555,GT,Pofut1,A0A3Q1MQ73,,,POFUT1,360194,Bos taurus,
556,GT,Pofut1,Q00P49,,,POFUT1,397627,Sus scrofa,
557,GT,Pofut2,A0ABI0P7D0,,,POFUT2,404083,Bos taurus,
558,GT,Pofut2,F1SG35,,,POFUT2,100738385,Sus scrofa,
559,GT,Poglut1,Q5E9Q1,,,POGLUT1,511862,Bos taurus,
560,GT,Poglut1,F1SPB0,,,POGLUT1,100525611,Sus scrofa,
561,GT,Poglut2,Q0VD36,,,POGLUT2,514810,Bos taurus,
562,GT,Poglut2,F1RLQ5,,,POGLUT2,100511896,Sus scrofa,
563,GT,Poglut3,A0A3Q1MGM6,,,POGLUT3,100298704,Bos taurus,
564,GT,Poglut3,F1SV18,,,POGLUT3,100512977,Sus scrofa,
565,GT,Pomgnt1,Q5EAB6,,,POMGNT1,506551,Bos taurus,
566,GT,Pomgnt1,F1S3V2,,,POMGNT1,780413,Sus scrofa,
567,GT,Pomt1,A0A287BKQ3,,,POMT1,100525803,Sus scrofa,
568,GT,Pomt2,E1BL72,,,POMT2,537054,Bos taurus,
569,GT,Pomt2,F1S2M9,,,POMT2,100155173,Sus scrofa,
570,GT,Rfng,F1MQG2,,,RFNG,532242,Bos taurus,
571,GT,Rfng,A0A286ZQY8,,,RFNG,110255925,Sus scrofa,
572,GT,Sec1,Q9TTY3,,,SEC1,281483,Bos taurus,
573,GT,St3gal1,A0AAF6DLT4,,,ST3GAL1,282351,Bos taurus,
574,GT,St3gal1,Q02745,,,ST3GAL1,445537,Sus scrofa,
575,GT,St3gal2,Q6H8M9,,,ST3GAL2,444879,Bos taurus,
576,GT,St3gal2,A0A287A537,,,ST3GAL2,100627772,Sus scrofa,
577,GT,St3gal3,A0AAA9RZZ9,,,ST3GAL3,444859,Bos taurus,
578,GT,St3gal3,Q70D54,,,ST3GAL3,396619,Sus scrofa,
579,GT,St3gal4,A0AAA9TT54,,,ST3GAL4,404163,Bos taurus,
580,GT,St3gal4,A0A287AWN7,,,ST3GAL4,396602,Sus scrofa,
581,GT,St3gal5,Q70D51,,,ST3GAL5,404164,Bos taurus,
582,GT,St3gal5,A0A287BK78,,,ST3GAL5,100625751,Sus scrofa,
583,GT,St3gal6,Q6H8M7,,,ST3GAL6,444860,Bos taurus,
584,GT,St3gal6,A0A287AMU7,,,ST3GAL6,100739492,Sus scrofa,
585,GT,St6gal1,F1MHF1,,,ST6GAL1,282073,Bos taurus,
586,GT,St6gal1,A0A286ZSQ8,,,ST6GAL1,100302026,Sus scrofa,
587,GT,St6gal2,A5D7T4,,,ST6GAL2,493992,Bos taurus,
588,GT,St6gal2,A0A480E8L5,,,ST6GAL2,100512775,Sus scrofa,
589,GT,St6galnac1,F1N6V7,,,ST6GALNAC1,618655,Bos taurus,
590,GT,St6galnac1,F1RZ66,,,ST6GALNAC1,100622490,Sus scrofa,
591,GT,St6galnac2,A0A3Q1LRX1,,,ST6GALNAC2,511690,Bos taurus,
592,GT,St6galnac4,G3N3B2,,,ST6GALNAC4,404124,Bos taurus,
593,GT,St6galnac2,F1RWP7,,,ST6GALNAC2,100518510,Sus scrofa,
594,GT,St6galnac3,A0A3Q1N3L6,,,ST6GALNAC3,782689,Bos taurus,
595,GT,St6galnac3,I3LS82,,,ST6GALNAC3,100512173,Sus scrofa,
596,GT,St6galnac4,F6PZ23,,,ST6GALNAC4,396676,Sus scrofa,
597,GT,St6galnac5,F1MXN8,,,ST6GALNAC5,540995,Bos taurus,
598,GT,St6galnac5,A0A287ACU7,,,ST6GALNAC5,404690,Sus scrofa,
599,GT,St6galnac6,Q08E15,,,ST6GALNAC6,407222,Bos taurus,
600,GT,St6galnac6,F1RS05,,,ST6GALNAC6,100523532,Sus scrofa,
601,GT,St8sia1,Q6ZXD2,,,ST8SIA1,282352,Bos taurus,
602,GT,St8sia1,A0A287ARB7,,,ST8SIA1,100625270,Sus scrofa,
603,GT,St8sia2,A0AAA9RZE3,,,ST8SIA2,540267,Bos taurus,
604,GT,St8sia2,M1FW61,,,ST8SIA2,100158046,Sus scrofa,
605,GT,St8sia3,A0A3Q1LZS9,,,ST8SIA3,414349,Bos taurus,
606,GT,St8sia3,A0A287A2J7,,,ST8SIA3,100157619,Sus scrofa,
607,GT,St8sia4,Q6ZXC9,,,ST8SIA4,407768,Bos taurus,
608,GT,St8sia4,A0A287BAR8,,,ST8SIA4,641356,Sus scrofa,
609,GT,St8sia5,A0A3Q1LSD7,,,ST8SIA5,497020,Bos taurus,
610,GT,St8sia5,A0A8W4FIM2,,,ST8SIA5,100622364,Sus scrofa,
611,GT,St8sia6,A0AAA9TQF6,,,ST8SIA6,494116,Bos taurus,
612,GT,St8sia6,F1RWB6,,,ST8SIA6,100522567,Sus scrofa,
